id,tender_title,project_type,source_name,province,city,town,event_time,purchasing_staff,bid_company,bid_amount,currency,bid_date,content,created_at,updated_at
6547,霍邱县消防救援大队关于其它打印机的网上超市采购项目成交公告,政府,政府采购,安徽省,六安市,霍邱县,2023-10-19 00:00:00,霍邱县消防救援大队,安徽云联大数据技术有限公司,11200.00,人民币:元,2023-10-19,霍邱县消防救援大队关于其它打印机的网上超市采购项目成交公告 项目:霍邱县消防救援大队关于其它打印机的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
6548,合肥市琥珀五环幼儿园关于移动硬盘的网上超市采购项目成交公告,学校,企业采购,安徽省,合肥市,"",2023-10-19 00:00:00,合肥市琥珀五环幼儿园,合肥市蜀山区尚嘉瑞佰电子产品经营部,23275.00,人民币:元,2023-10-19,合肥市琥珀五环幼儿园关于移动硬盘的网上超市采购项目成交公告 项目:合肥市琥珀五环幼儿园关于移动硬盘的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
6549,六安市裕安区消防救援大队关于档案袋的网上超市采购项目成交公告,政府,政府采购,安徽省,六安市,裕安区,2023-10-19 00:00:00,六安市裕安区消防救援大队,六安景烨商贸有限公司,19419.50,人民币:元,2023-10-19,六安市裕安区消防救援大队关于档案袋的网上超市采购项目成交公告 项目:六安市裕安区消防救援大队关于档案袋的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
6550,安徽省滁州监狱关于饮水机的网上超市采购项目成交公告,货物,企业采购,安徽省,滁州市,"",2023-10-19 00:00:00,安徽省滁州监狱,安徽鸿俐达贸易有限公司,2600.00,人民币:元,2023-10-19,安徽省滁州监狱关于饮水机的网上超市采购项目成交公告 项目:安徽省滁州监狱关于饮水机的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
6551,合肥市包河区望湖街道望湖社区居民委员会关于心理仪器的网上超市采购项目成交公告,政府,政府采购,安徽省,合肥市,包河区,2023-10-19 00:00:00,合肥市包河区望湖街道望湖社区居民委员会,安徽致信易物商贸有限公司,2480.00,人民币:元,2023-10-19,合肥市包河区望湖街道望湖社区居民委员会关于心理仪器的网上超市采购项目成交公告 项目:合肥市包河区望湖街道望湖社区居民委员会关于心理仪器的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
6552,合肥新站高新技术产业开发区三十头社区管理委员会关于商务公文包的网上超市采购项目成交公告,政府,政府采购,安徽省,合肥市,合肥新站高新技术产业开发区,2023-10-19 00:00:00,合肥新站高新技术产业开发区三十头社区管理委员会,合肥市君柏商贸有限公司,2400.00,人民币:元,2023-10-19,合肥新站高新技术产业开发区三十头社区管理委员会关于商务公文包的网上超市采购项目成交公告 项目:合肥新站高新技术产业开发区三十头社区管理委员会关于商务公文包的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
6553,宿松县公安局交通管理警察大队关于气体检测管的网上超市采购项目成交公告,政府,政府采购,安徽省,安庆市,宿松县,2023-10-19 00:00:00,宿松县公安局交通管理警察大队,深圳市警安智能设备有限公司,6500.00,人民币:元,2023-10-19,宿松县公安局交通管理警察大队关于气体检测管的网上超市采购项目成交公告 项目:宿松县公安局交通管理警察大队关于气体检测管的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
6554,安徽省滁州监狱关于打印/复印纸的网上超市采购项目成交公告,货物,企业采购,安徽省,滁州市,"",2023-10-19 00:00:00,安徽省滁州监狱,滁州市力天世纪商贸有限公司,3634.00,人民币:元,2023-10-19,安徽省滁州监狱关于打印/复印纸的网上超市采购项目成交公告 项目:安徽省滁州监狱关于打印/复印纸的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
6555,合肥市公安局庐阳分局关于捆绑带的网上超市采购项目成交公告,政府,政府采购,安徽省,合肥市,庐阳区,2023-10-19 00:00:00,合肥市公安局庐阳分局,合肥浩璐宝商贸有限公司,1169.20,人民币:元,2023-10-19,合肥市公安局庐阳分局关于捆绑带的网上超市采购项目成交公告 项目:合肥市公安局庐阳分局关于捆绑带的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
6556,创建全国信用示范城市综合服务中标（成交）结果公告,服务,招标采购,安徽省,合肥市,包河区,2023-10-19 00:00:00,安徽省发展和改革委员会,东方安卓（北京）征信有限公司,300000.00,人民币:元,2023-10-19,创建全国信用示范城市综合服务中标（成交）结果公告 项目:创建全国信用示范城市综合服务,2026-07-29 09:19:42,2026-07-29 09:19:42
